sex,ages,Alaska_13,Atlanta_9,CT_9,Detroit_9,HI_9,IA_9,ID_NA,KY_18,LA_18,LosAngeles_13,MA_NA,NJ_18,NM_9,NY_NA,OtherCA_18,OtherGA_18,RuralGA_13,SanFrancisco_9,SanJose_13,Seattle_9,UT_9,WI_NA
Both,85,0.722105263157895,0.65078836793277,0.651439951457066,0.674687251428158,0.664313368253245,0.626524156147302,0.669878717394916,0.664132095226653,0.652600722612312,0.654557614959642,0.643240324958009,0.66622548695211,0.665322234617695,0.64865741216355,0.666638787521295,0.66741028128031,0.656122448979592,0.64775042104419,0.652996962287916,0.662360825856664,0.67486552342421,0.651545098039216
Both,90,0.202105263157895,0.266672213670591,0.265134659966082,0.247975269361487,0.248747437941243,0.279001197825486,0.260176108988204,0.25768524398826,0.264912400299952,0.258971845309537,0.271218249751483,0.25796513209656,0.25856002746074,0.267149938360386,0.257022243156037,0.256223731005496,0.257142857142857,0.26569893335472,0.265577535748685,0.260638489532663,0.260999494276125,0.267607843137255
Both,95,0.0652631578947368,0.0693514165661272,0.0712118619015761,0.0662556945549208,0.0712821680710544,0.0800239565097208,0.0601428808772221,0.066579701687235,0.0687845115549799,0.0724619091683693,0.0722414561409522,0.0646769461540158,0.0644040161331846,0.0713606944729813,0.0647309735837761,0.0638376980278047,0.0647959183673469,0.0729168337476943,0.0693857894346892,0.0667495405902065,0.0570088731552572,0.0704522875816993
Both,100,0.00631578947368421,0.0114822981237259,0.0112488914474196,0.00981632800636344,0.0141767251195627,0.0130685831874443,0.00830702774547267,0.0102469919843463,0.011878792010362,0.0125885273988291,0.0122373427484318,0.010235369377716,0.0105981292371063,0.0116730018491884,0.0106263563571054,0.010717749757517,0.0204081632653061,0.0123827091186142,0.010965399718456,0.00945843692573776,0.00675830996276033,0.00957908496732026
Both,105,0.00421052631578947,0.000790448059242002,0.000809048900782599,0.000921975558608721,0.00125256205875655,0.00122853896004177,0.000886082959517085,0.000909699455896741,0.00117594928079624,0.000980329280694843,0.000916943749357282,0.000617651600379415,0.000901055522183129,0.00088606944729813,0.000726325103116155,0.00109925638538636,0.00153061224489796,0.00104258561231855,0.000703860117063051,0.000450401758368465,0.000275849386235116,0.000690196078431373
Both,110,0,0.000915255647543371,0.000155586327073577,0.000343481090462072,0.000227738556137554,0.000153567370005221,0.000609182034667996,0.000446267657609722,0.000647624241597928,0.000439773882928528,0.000145682651767045,0.000279413819219259,0.000214537029091221,0.000272883706595439,0.000255314278671133,0.000711283543485289,0,0.00020851712246371,0.00037045269319108,0.000342305336360033,9.19497954117052e-05,0.000125490196078431
